All measured points in VidSync project Porter_BACI_RoachRun_5July2018_Part1,,,,,,,,,,
Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_2 9 (Omykiss),Movement 98,0:00:09:15.175/60000,555.00293,58.841011,26.657982,-13.105453,0.324265,0.539207,102.446671,
Subsample_2 9 (Omykiss),Drift_Forage 100,0:00:09:21.175/60000,561.00293,-10.373355,40.834038,-8.292677,0.060499,0.131364,112.229713,
Subsample_2 9 (Omykiss),Drift_Forage 99,0:00:09:18.175/60000,558.00293,17.054678,28.232962,-16.14814,0.057294,0.376544,103.384453,
Subsample_2 9 (Omykiss),Drift_Forage 101,0:00:09:24.175/60000,564.00293,-27.873842,38.217411,-12.075182,0.116273,0.61163,114.91787,
Subsample_2 9 (Omykiss),Drift_Forage 102,0:00:09:27.175/60000,567.00293,-39.89257,44.998928,-10.089486,0.088734,1.56781,124.124245,
Subsample_2 9 (Omykiss),Length 105,0:00:09:06.3731/60000,546.062195,-46.483044,39.380089,-12.524875,0.11364,0.095888,122.698898,
Subsample_2 9 (Omykiss),Length 104,0:00:09:03.2550/60000,543.04248,-37.247406,43.629818,-11.077108,0.097438,0.545572,122.312431,
Subsample_2 9 (Omykiss),Length 104,0:00:09:03.2550/60000,543.04248,-29.496208,45.090759,-11.764769,0.088808,2.822406,121.393242,
Subsample_2 10 (Omykiss),Search_Forage 106,0:00:09:00.175/60000,540.00293,-44.598694,28.323277,-2.514815,0.102361,0.699798,109.368774,
Subsample_2 9 (Omykiss),Length 105,0:00:09:06.3731/60000,546.062195,-52.845318,35.402538,-10.704267,0.105414,0.905689,121.644829,
Subsample_2 9 (Omykiss),Drift_Forage 103,0:00:09:30.175/60000,570.00293,-35.810329,43.532375,-10.553584,0.096069,1.197598,121.561768,
Subsample_2 10 (Omykiss),Search_Forage 107,0:00:09:03.175/60000,543.00293,-11.317147,31.011002,-6.167053,0.101458,0.78618,102.533752,
Subsample_2 10 (Omykiss),Drift_Forage 108,0:00:09:06.175/60000,546.00293,-7.293762,32.765545,-5.842637,0.080814,0.826669,103.484833,
Subsample_2 10 (Omykiss),Drift_Forage 111,0:00:09:15.175/60000,555.00293,-18.572681,17.554909,-1.813928,0.143858,0.716741,90.247871,
Subsample_2 10 (Omykiss),Movement 110,0:00:09:12.175/60000,552.00293,4.039357,4.729819,0.969829,0.088969,0.785518,74.169022,
Subsample_2 10 (Omykiss),Drift_Forage 109,0:00:09:09.175/60000,549.00293,8.502919,30.485235,-6.653965,0.011364,0.384287,100.955444,
Subsample_2 10 (Omykiss),Drift_Forage 113,0:00:09:21.175/60000,561.00293,-14.092496,31.916996,0.761884,0.082654,0.459581,101.651161,
Subsample_2 10 (Omykiss),Drift_Forage 112,0:00:09:18.175/60000,558.00293,-25.652107,33.354206,-0.709635,0.094891,0.361275,106.180313,
Subsample_2 10 (Omykiss),Drift_Forage 114,0:00:09:24.175/60000,564.00293,-6.714667,21.559067,-1.000113,0.108345,0.085719,91.318825,
Subsample_2 10 (Omykiss),Drift_Forage 115,0:00:09:27.175/60000,567.00293,-20.43573,20.575611,6.574646,0.090662,0.901958,90.965034,
Subsample_2 10 (Omykiss),Drift_Forage 116,0:00:09:30.175/60000,570.00293,-31.530224,8.10749,0.973875,0.118004,1.431233,85.516899,
Subsample_2 10 (Omykiss),Length 119,0:00:09:24.3810/60000,564.063477,-6.802618,21.678593,-0.96162,0.108145,0.61211,91.428673,
Subsample_2 10 (Omykiss),Length 119,0:00:09:24.3810/60000,564.063477,-2.236078,21.494883,-1.372605,0.093593,0.373421,90.915916,
Subsample_2 10 (Omykiss),Length 118,0:00:09:12.3090/60000,552.051514,3.770083,5.062831,0.877273,0.090513,0.52369,74.516022,
Subsample_2 10 (Omykiss),Length 120,0:00:09:27.987/60000,567.016479,-20.64073,20.577127,6.567793,0.090633,0.227108,91.025917,
Subsample_2 10 (Omykiss),Length 120,0:00:09:27.987/60000,567.016479,-16.1327,20.953094,7.144405,0.086145,0.859934,90.061111,
Subsample_2 10 (Omykiss),Length 118,0:00:09:12.3090/60000,552.051514,7.92485,3.428204,1.406803,0.064947,0.649546,72.848145,
Subsample_2 11 (Omykiss),Drift_Forage 121,0:00:09:00.175/60000,540.00293,-61.900997,43.544567,30.25123,0.256353,0.179932,126.340454,
Subsample_2 11 (Omykiss),Drift_Forage 122,0:00:09:03.175/60000,543.00293,-42.467861,38.392311,27.839479,0.195782,3.4088,112.528793,
Subsample_2 11 (Omykiss),Drift_Forage 123,0:00:09:06.175/60000,546.00293,-43.315704,13.758798,28.870632,0.163073,0.569271,91.236671,
Subsample_2 11 (Omykiss),Drift_Forage 124,0:00:09:09.175/60000,549.00293,-61.534012,27.432713,22.77861,0.116233,0.617572,113.006866,
Subsample_2 11 (Omykiss),Drift_Forage 125,0:00:09:12.175/60000,552.00293,-70.51609,30.497623,21.334955,0.095403,3.09987,120.986504,
Subsample_2 11 (Omykiss),Length 128,0:00:09:04.39647/60000,544.660767,-49.731525,28.794632,21.656376,0.118715,1.894586,107.722923,
